Admin,Active,Semi-Active,Inactive
Filelakeshoe,1,0,0
Finlay McWalter,1,0,0
Firsfron,0,1,0
Fish and karate,0,1,0
Fluffernutter,0,1,0
Fox,0,1,0
Frank,0,1,0
Frazzydee,0,0,1
Furrykef,1,0,0
Future Perfect at Sunrise,1,0,0
Fuzheado,1,0,0
Fvasconcellos,0,1,0
GB fan,1,0,0
Gabbe,0,1,0
Gadfium,1,0,0
Gaius Cornelius,0,1,0
Galobtter,0,0,1
Gamaliel,1,0,0
Ganesha811,1,0,0
Garion96,0,1,0
Gatoclass,1,0,0
Ged UK,0,1,0
GeeJo,0,0,1
GeneralizationsAreBad,0,0,1
Geni,1,0,0
Geniac,1,0,0
Gentgeen,0,0,1
Gfoley4,0,0,1
GiantSnowman,1,0,0
Gilliam,1,0,0
Giraffer,1,0,0
Girth Summit,1,0,0
Glen,0,1,0
Go Phightins!,0,1,0
Gogo Dodo,1,0,0
Golbez,1,0,0
GoldRingChip,1,0,0
Goldsztajn,1,0,0
Gonzo fan2007,1,0,0
Goodnightmush,0,1,0
GorillaWarfare,1,0,0
Graeme Bartlett,1,0,0
Graham Beards,1,0,0
Grant65,1,0,0
Grendelkhan,0,1,0
Grondemar,0,0,1
Ground Zero,0,1,0
Grutness,1,0,0
Guerillero,1,0,0
Guettarda,1,0,0
Gurubrahma,0,0,1
Gyrofrog,0,1,0
HJ Mitchell,1,0,0
Hadal,1,0,0
Hammersoft,1,0,0
Happy-melon,0,0,1
Harrias,0,1,0
Harryboyles,1,0,0
Haukurth,0,1,0
Heimstern,0,1,0
HelloAnnyong,0,1,0
Henry Flower,0,1,0
Heron,0,1,0
Hex,1,0,0
Hey man im josh,0,1,0
HickoryOughtShirt?4,0,0,0
Hiding,0,1,0
HighInBC,0,0,1
Hinnk,1,0,0
Hoary,1,0,0
Hog Farm,1,0,0
Holly Cheng,0,1,0
HouseBlaster,1,0,0
Huntster,0,1,0
Hurricanehink,1,0,0
IanManka,0,1,0
Ianblair23,1,0,0
IceKarma,0,1,0
Ike9898,0,1,0
Ikuzaf,1,0,0
Ilyanep,0,0,1
Infrogmation,1,0,0
Ingenuity,1,0,0
Inter,0,1,0
Iridescent,0,1,0
IronGargoyle,1,0,0
Isabelle Belato,0,1,0
Ish ishwar,0,1,0
It Is Me Here,0,1,0
Ivanvector,0,1,0
Ixfd64,1,0,0
Izno,1,0,0
J Milburn,1,0,0
J04n,1,0,0
JBW,1,0,0
JHunterJ,0,1,0
JIP,1,0,0
JJMC89,1,0,0
JJMC89 bot III,1,0,0
JLaTondre,0,1,0
JPG-GR,0,1,0
JPxG,1,0,0
JSherman (WMF),0,1,0
Jac16888,1,0,0
Jake Wartenberg,1,0,0
JamesTeterenko,0,0,1
Jamesofur,0,1,0
January,0,1,0
Jason Quinn,0,1,0
Jauerback,1,0,0
Jay,1,0,0
Jayjg,0,1,0
Jbmurray,0,1,0
Jc37,1,0,0
Jdforrester,0,1,0
Jeepday,0,1,0
Jesse Viviano,1,0,0
Jfdwolff,0,1,0
Jimfbleak,1,0,0
Jinian,0,0,1
Jlwoodwa,1,0,0
Jmabel,1,0,0
Jnc,0,1,0
Jni,0,1,0
Jo-Jo Eumerus,1,0,0
JoJan,1,0,0
John K,1,0,0
Johnleemk,0,1,0
Johnuniq,1,0,0
Josiah Rowe,0,1,0
Joy,1,0,0
